SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
712A	FMT.0156	SRR11418953	PRJNA545312		462	712A..pool462	Illumina MiSeq	Illumina	16S rRNA
712B	FMT.0156	SRR11423128	PRJNA545312		462	712B..pool462	Illumina MiSeq	Illumina	16S rRNA
712C	FMT.0156	SRR11418952	PRJNA545312		516.BMT	712C..pool516.BMT	Illumina MiSeq	Illumina	16S rRNA
FMT.0002D	FMT.0002	SRR11420332	PRJNA545312		479	FMT.0002D..pool479	Illumina MiSeq	Illumina	16S rRNA
FMT.0007A	FMT.0007	SRR11419680	PRJNA545312		500	FMT.0007A..pool500	Illumina MiSeq	Illumina	16S rRNA
FMT.0007D	FMT.0007	SRR11419677	PRJNA545312		462	FMT.0007D..pool462	Illumina MiSeq	Illumina	16S rRNA
FMT.0009P	FMT.0009	SRR11419628	PRJNA545312		462	FMT.0009P..pool462	Illumina MiSeq	Illumina	16S rRNA
FMT.0011A	FMT.0011	SRR11419597	PRJNA545312		462	FMT.0011A..pool462	Illumina MiSeq	Illumina	16S rRNA
FMT.0012A	FMT.0012	SRR11419593	PRJNA545312		462	FMT.0012A..pool462	Illumina MiSeq	Illumina	16S rRNA
FMT.0013A	FMT.0013	SRR11419549	PRJNA545312		462	FMT.0013A..pool462	Illumina MiSeq	Illumina	16S rRNA
FMT.0019F	FMT.0019	SRR11419413	PRJNA545312		535	FMT.0019F..pool535	Illumina MiSeq	Illumina	16S rRNA
FMT.0023A	FMT.0023	SRR11419361	PRJNA545312		535	FMT.0023A..pool535	Illumina MiSeq	Illumina	16S rRNA
FMT.0028Q	FMT.0028	SRR11116994	PRJNA607574		696	FMT.0028Q..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0028R	FMT.0028	SRR11116993	PRJNA607574		696	FMT.0028R..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0035L	FMT.0035	SRR11116988	PRJNA607574		606	FMT.0035L..pool606	Illumina MiSeq	Illumina	16S rRNA
FMT.0035M	FMT.0035	SRR11116987	PRJNA607574		606	FMT.0035M..pool606	Illumina MiSeq	Illumina	16S rRNA
FMT.0035R	FMT.0035	SRR11116982	PRJNA607574		696	FMT.0035R..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0035S	FMT.0035	SRR11116981	PRJNA607574		696	FMT.0035S..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0035T	FMT.0035	SRR11116980	PRJNA607574		696	FMT.0035T..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0035U	FMT.0035	SRR11116620	PRJNA607574		696	FMT.0035U..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0035V	FMT.0035	SRR11116619	PRJNA607574		696	FMT.0035V..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039I	FMT.0039	SRR11419481	PRJNA545312		696	FMT.0039I..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039J	FMT.0039	SRR11419480	PRJNA545312		696	FMT.0039J..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039K	FMT.0039	SRR11419479	PRJNA545312		696	FMT.0039K..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039L	FMT.0039	SRR11419478	PRJNA545312		696	FMT.0039L..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039M	FMT.0039	SRR11419477	PRJNA545312		696	FMT.0039M..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039N	FMT.0039	SRR11419476	PRJNA545312		696	FMT.0039N..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039O	FMT.0039	SRR11419475	PRJNA545312		696	FMT.0039O..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039P	FMT.0039	SRR11419474	PRJNA545312		696	FMT.0039P..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039Q	FMT.0039	SRR11419473	PRJNA545312		696	FMT.0039Q..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0039R	FMT.0039	SRR11419472	PRJNA545312		696	FMT.0039R..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0046J	FMT.0046	SRR11116616	PRJNA607574		696	FMT.0046J..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0046K	FMT.0046	SRR11116615	PRJNA607574		696	FMT.0046K..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0046L	FMT.0046	SRR11116614	PRJNA607574		696	FMT.0046L..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0046M	FMT.0046	SRR11116613	PRJNA607574		696	FMT.0046M..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0046N	FMT.0046	SRR11116612	PRJNA607574		696	FMT.0046N..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0050O	FMT.0050	SRR11420271	PRJNA545312		696	FMT.0050O..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0050P	FMT.0050	SRR11420270	PRJNA545312		696	FMT.0050P..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0050Q	FMT.0050	SRR11420269	PRJNA545312		696	FMT.0050Q..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0052S	FMT.0052	SRR11420191	PRJNA545312		606	FMT.0052S..pool606	Illumina MiSeq	Illumina	16S rRNA
FMT.0055T	FMT.0055	SRR11420131	PRJNA545312		606	FMT.0055T..pool606	Illumina MiSeq	Illumina	16S rRNA
FMT.0057I	FMT.0057	SRR11420054	PRJNA545312		606	FMT.0057I..pool606	Illumina MiSeq	Illumina	16S rRNA
FMT.0061B	FMT.0061	SRR11419931	PRJNA545312		696	FMT.0061B..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061C	FMT.0061	SRR11419930	PRJNA545312		696	FMT.0061C..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061D	FMT.0061	SRR11419929	PRJNA545312		696	FMT.0061D..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061E	FMT.0061	SRR11419927	PRJNA545312		696	FMT.0061E..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061EE	FMT.0061	SRR11116603	PRJNA607574		696	FMT.0061EE..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061F	FMT.0061	SRR11419926	PRJNA545312		696	FMT.0061F..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061FF	FMT.0061	SRR11116602	PRJNA607574		696	FMT.0061FF..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061G	FMT.0061	SRR11419925	PRJNA545312		696	FMT.0061G..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061H	FMT.0061	SRR11419924	PRJNA545312		696	FMT.0061H..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061I	FMT.0061	SRR11419923	PRJNA545312		696	FMT.0061I..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061J	FMT.0061	SRR11419922	PRJNA545312		696	FMT.0061J..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061K	FMT.0061	SRR11420267	PRJNA545312		696	FMT.0061K..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061L	FMT.0061	SRR11420266	PRJNA545312		696	FMT.0061L..pool696	Illumina MiSeq	Illumina	16S rRNA
FMT.0061V	FMT.0061	SRR11420260	PRJNA545312		606	FMT.0061V..pool606	Illumina MiSeq	Illumina	16S rRNA
FMT.0062BB	FMT.0062	SRR11420255	PRJNA545312		665	FMT.0062BB..pool665	Illumina MiSeq	Illumina	16S rRNA
FMT.0062EE	FMT.0062	SRR11420251	PRJNA545312		665	FMT.0062EE..pool665	Illumina MiSeq	Illumina	16S rRNA
FMT.0064J	FMT.0064	SRR11420171	PRJNA545312		698	FMT.0064J..pool698	Illumina MiSeq	Illumina	16S rRNA
FMT.0064K	FMT.0064	SRR11420170	PRJNA545312		698	FMT.0064K..pool698	Illumina MiSeq	Illumina	16S rRNA
FMT.0064M	FMT.0064	SRR11420167	PRJNA545312	SRR13697222	698	FMT.0064M..pool698	Illumina MiSeq	Illumina	16S rRNA
FMT.0064O	FMT.0064	SRR11420166	PRJNA545312		698	FMT.0064O..pool698	Illumina MiSeq	Illumina	16S rRNA
