SampleID	PatientID	Accession	BioProject	AccessionShotgun	Pool	run_prefix	instrument_model	platform	target_gene
1001	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11414988	PRJNA545312		535	1001..pool535	Illumina MiSeq	Illumina	16S rRNA
1002	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11414981	PRJNA545312		535	1002..pool535	Illumina MiSeq	Illumina	16S rRNA
1005	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11414971	PRJNA545312		203	1005..pool203	Illumina MiSeq	Illumina	16S rRNA
1006	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11414970	PRJNA545312		535	1006..pool535	Illumina MiSeq	Illumina	16S rRNA
1006A	pt_with_samples_1006_2024	SRR11395486	PRJNA607574		483	1006A..pool483	Illumina MiSeq	Illumina	16S rRNA
1007	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11414969	PRJNA545312		535	1007..pool535	Illumina MiSeq	Illumina	16S rRNA
1008	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11414341	PRJNA545312		535	1008..pool535	Illumina MiSeq	Illumina	16S rRNA
1009	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11414336	PRJNA545312		203	1009..pool203	Illumina MiSeq	Illumina	16S rRNA
1011	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11414327	PRJNA545312		203	1011..pool203	Illumina MiSeq	Illumina	16S rRNA
1012	pt_with_samples_1012_1013_1014_1015_1016_1017_1018	SRR11414326	PRJNA545312		203	1012..pool203	Illumina MiSeq	Illumina	16S rRNA
1013	pt_with_samples_1012_1013_1014_1015_1016_1017_1018	SRR11414321	PRJNA545312		535	1013..pool535	Illumina MiSeq	Illumina	16S rRNA
1016	pt_with_samples_1012_1013_1014_1015_1016_1017_1018	SRR11415162	PRJNA545312		203	1016..pool203	Illumina MiSeq	Illumina	16S rRNA
1017	pt_with_samples_1012_1013_1014_1015_1016_1017_1018	SRR11415160	PRJNA545312		535	1017..pool535	Illumina MiSeq	Illumina	16S rRNA
1018	pt_with_samples_1012_1013_1014_1015_1016_1017_1018	SRR11415158	PRJNA545312		203	1018..pool203	Illumina MiSeq	Illumina	16S rRNA
1019	pt_with_samples_1019_1020_1021_1022_1023_1024	SRR11415157	PRJNA545312		203	1019..pool203	Illumina MiSeq	Illumina	16S rRNA
1020	pt_with_samples_1019_1020_1021_1022_1023_1024	SRR11415153	PRJNA545312		535	1020..pool535	Illumina MiSeq	Illumina	16S rRNA
1021	pt_with_samples_1019_1020_1021_1022_1023_1024	SRR11415151	PRJNA545312		535	1021..pool535	Illumina MiSeq	Illumina	16S rRNA
1023	pt_with_samples_1019_1020_1021_1022_1023_1024	SRR11415147	PRJNA545312		203	1023..pool203	Illumina MiSeq	Illumina	16S rRNA
1024	pt_with_samples_1019_1020_1021_1022_1023_1024	SRR11414968	PRJNA545312		203	1024..pool203	Illumina MiSeq	Illumina	16S rRNA
1025	pt_with_samples_1025_1026_1027_1028_1029	SRR11414965	PRJNA545312		203	1025..pool203	Illumina MiSeq	Illumina	16S rRNA
1027	pt_with_samples_1025_1026_1027_1028_1029	SRR11414964	PRJNA545312		203	1027..pool203	Illumina MiSeq	Illumina	16S rRNA
1028	pt_with_samples_1025_1026_1027_1028_1029	SRR11414962	PRJNA545312		203	1028..pool203	Illumina MiSeq	Illumina	16S rRNA
1029	pt_with_samples_1025_1026_1027_1028_1029	SRR11414959	PRJNA545312		203	1029..pool203	Illumina MiSeq	Illumina	16S rRNA
1030	pt_with_samples_1030_1031_1032_1033_1034_1035_1036	SRR11414957	PRJNA545312		203	1030..pool203	Illumina MiSeq	Illumina	16S rRNA
1031	pt_with_samples_1030_1031_1032_1033_1034_1035_1036	SRR11414956	PRJNA545312		535	1031..pool535	Illumina MiSeq	Illumina	16S rRNA
1033	pt_with_samples_1030_1031_1032_1033_1034_1035_1036	SRR11414954	PRJNA545312		535	1033..pool535	Illumina MiSeq	Illumina	16S rRNA
1034	pt_with_samples_1030_1031_1032_1033_1034_1035_1036	SRR11414953	PRJNA545312		535	1034..pool535	Illumina MiSeq	Illumina	16S rRNA
1035	pt_with_samples_1030_1031_1032_1033_1034_1035_1036	SRR11414951	PRJNA545312		203	1035..pool203	Illumina MiSeq	Illumina	16S rRNA
1036	pt_with_samples_1030_1031_1032_1033_1034_1035_1036	SRR11414950	PRJNA545312		203	1036..pool203	Illumina MiSeq	Illumina	16S rRNA
1037	pt_with_samples_1037_1038_1039_1040_1041_1042_1043_1124	SRR11414943	PRJNA545312		203	1037..pool203	Illumina MiSeq	Illumina	16S rRNA
1039	pt_with_samples_1037_1038_1039_1040_1041_1042_1043_1124	SRR11414539	PRJNA545312		535	1039..pool535	Illumina MiSeq	Illumina	16S rRNA
1040	pt_with_samples_1037_1038_1039_1040_1041_1042_1043_1124	SRR11414532	PRJNA545312		535	1040..pool535	Illumina MiSeq	Illumina	16S rRNA
1041	pt_with_samples_1037_1038_1039_1040_1041_1042_1043_1124	SRR11414530	PRJNA545312		535	1041..pool535	Illumina MiSeq	Illumina	16S rRNA
1042	pt_with_samples_1037_1038_1039_1040_1041_1042_1043_1124	SRR11414529	PRJNA545312		203	1042..pool203	Illumina MiSeq	Illumina	16S rRNA
1043	pt_with_samples_1037_1038_1039_1040_1041_1042_1043_1124	SRR11414732	PRJNA545312		203	1043..pool203	Illumina MiSeq	Illumina	16S rRNA
1044	pt_with_samples_1044_1045_1046_1047	SRR11414731	PRJNA545312		203	1044..pool203	Illumina MiSeq	Illumina	16S rRNA
1045	pt_with_samples_1044_1045_1046_1047	SRR11414663	PRJNA545312		535	1045..pool535	Illumina MiSeq	Illumina	16S rRNA
1047	pt_with_samples_1044_1045_1046_1047	SRR11415054	PRJNA545312		203	1047..pool203	Illumina MiSeq	Illumina	16S rRNA
1048	pt_with_samples_1001_1002_1003_1004_1005_1006_1007_1008_1048_1121_152	SRR11415052	PRJNA545312		535	1048..pool535	Illumina MiSeq	Illumina	16S rRNA
1049	pt_with_samples_1009_1010_1011_1049_1125_145	SRR11415051	PRJNA545312		535	1049..pool535	Illumina MiSeq	Illumina	16S rRNA
1050	pt_with_samples_1050_1051_1052_1053_1054_1055_1123	SRR11415039	PRJNA545312		203	1050..pool203	Illumina MiSeq	Illumina	16S rRNA
1051	pt_with_samples_1050_1051_1052_1053_1054_1055_1123	SRR11415036	PRJNA545312		535	1051..pool535	Illumina MiSeq	Illumina	16S rRNA
1052	pt_with_samples_1050_1051_1052_1053_1054_1055_1123	SRR11415035	PRJNA545312		203	1052..pool203	Illumina MiSeq	Illumina	16S rRNA
1053	pt_with_samples_1050_1051_1052_1053_1054_1055_1123	SRR11415034	PRJNA545312		203	1053..pool203	Illumina MiSeq	Illumina	16S rRNA
1054	pt_with_samples_1050_1051_1052_1053_1054_1055_1123	SRR11415018	PRJNA545312		535	1054..pool535	Illumina MiSeq	Illumina	16S rRNA
1056	pt_with_samples_1056_1057_1058_1120	SRR11415016	PRJNA545312		535	1056..pool535	Illumina MiSeq	Illumina	16S rRNA
1057	pt_with_samples_1056_1057_1058_1120	SRR11415015	PRJNA545312		535	1057..pool535	Illumina MiSeq	Illumina	16S rRNA
1058	pt_with_samples_1056_1057_1058_1120	SRR11415014	PRJNA545312		553	1058..pool553	Illumina MiSeq	Illumina	16S rRNA
1059	pt_with_samples_1059_1060_1061_1062_1063_1064	SRR11415012	PRJNA545312		203	1059..pool203	Illumina MiSeq	Illumina	16S rRNA
1060	pt_with_samples_1059_1060_1061_1062_1063_1064	SRR11415010	PRJNA545312		535	1060..pool535	Illumina MiSeq	Illumina	16S rRNA
1061	pt_with_samples_1059_1060_1061_1062_1063_1064	SRR11415009	PRJNA545312		535	1061..pool535	Illumina MiSeq	Illumina	16S rRNA
1062	pt_with_samples_1059_1060_1061_1062_1063_1064	SRR11415007	PRJNA545312		203	1062..pool203	Illumina MiSeq	Illumina	16S rRNA
1064	pt_with_samples_1059_1060_1061_1062_1063_1064	SRR11414882	PRJNA545312		203	1064..pool203	Illumina MiSeq	Illumina	16S rRNA
1065	pt_with_samples_1065_1066_1067_1068_1069	SRR11414858	PRJNA545312		535	1065..pool535	Illumina MiSeq	Illumina	16S rRNA
1067	pt_with_samples_1065_1066_1067_1068_1069	SRR11415134	PRJNA545312		535	1067..pool535	Illumina MiSeq	Illumina	16S rRNA
1068	pt_with_samples_1065_1066_1067_1068_1069	SRR11415131	PRJNA545312		535	1068..pool535	Illumina MiSeq	Illumina	16S rRNA
1069	pt_with_samples_1065_1066_1067_1068_1069	SRR11415130	PRJNA545312		535	1069..pool535	Illumina MiSeq	Illumina	16S rRNA
1070	pt_with_samples_1070_1071_1072_1073	SRR11415129	PRJNA545312		535	1070..pool535	Illumina MiSeq	Illumina	16S rRNA
